Year,Month,Avg_Temp (°C),Max_Temp (°C),Min_Temp (°C),Precipitation (mm),Humidity (%),Wind_Speed (m/s),Solar_Irradiance (W/m²),Cloud_Cover (%),CO2_Concentration (ppm),Latitude,Longitude,Altitude (m),Proximity_to_Water (km),Urbanization_Index,Vegetation_Index,ENSO_Index,Particulate_Matter (µg/m³),Sea_Surface_Temp (°C)
,1.0,-3.460515779331743,33.056918907353285,,184.89969755743786,89.62081302618182,9.742885739415993,,58.530797670209076,,40.7128,,10.0,15.0,,0.04423782887418304,0.6336943092843479,33.43707805480527,18.545360112309588
2020.0,2.0,,25.901916083791665,3.1739745975583844,2.957244192049635,95.17102000342224,10.64824600272703,252.3136442294677,32.85666516634471,419.59592365802416,40.7128,-74.006,10.0,15.0,99999.0,0.6128400325468267,,24.504783135571934,15.909586979280654
2020.0,3.0,7.869842343867335,18.63424149980029,10.42485208665568,,,,247.39139984511084,29.380233637986674,416.6504582879432,40.7128,-74.006,10.0,15.0,0.3417315110218282,0.4665653848003175,-0.4280583600093959,32.3274997743319,21.281093622177334
,4.0,-0.049862613615383466,13.030562376875533,-9.196433418151315,102.4544605414934,Unknown,0.898697634212508,143.26161801322706,17.496855610388273,418.92280781304305,40.7128,-74.006,10.0,15.0,0.8963828325127179,0.030465932726280065,-0.5707078659552114,20.496275820817043,
2020.0,5.0,19.895067477882936,35.88212887551623,20.067999652410148,185.72922332959365,73.99994640624561,13.128301152215258,169.5494376964624,2.1937104861995405,401.89658759030175,40.7128,-74.006,10.0,99999.0,0.07617320356224011,,-0.2861494705734404,22.64905691725084,15.502968235198333
2020.0,6.0,2.1958863227793923,16.815980053623928,21.69339369094645,26.296148446729873,35.626443191624936,2.7860050941947905,158.7524359120713,96.05477049972627,400.35152991785486,,,10.0,15.0,0.731543715106451,0.04365568216176974,-0.23867083029214586,26.350879986637086,16.90621134574127
,7.0,-0.8315017708887984,,-9.098586846479657,22.98402037192848,,11.036926613168248,201.69895236814938,2.859401235842318,411.55910505075803,,-74.006,10.0,15.0,0.17971977818527074,0.921412688375088,0.496792285006872,23.749488315782877,27.71362771832118
2020.0,8.0,5.241145172619772,23.018365507255687,-2.8241009285731744,100.23810532116136,75.36834893597688,12.462339982116639,89.70128267136548,92.01998586610826,423.2976034668884,40.7128,-74.006,10.0,15.0,0.46934626096566123,0.3578404397196293,0.5235609705809126,48.53486454396686,
2020.0,9.0,34.282302674973344,4.777629228981937,0.39121915565166177,199.45034189396836,96.81856590078783,8.00856854128788,227.88277854059066,98.88385241970374,432.83912572377307,40.7128,-74.006,10.0,15.0,0.3647412468996173,0.3564403191108527,,34.55780020584284,14.494095352151927
2020.0,10.0,25.979139842231827,11.02265627885938,-7.649405276953751,,86.06230719949002,99999.0,235.229354907283,51.5837019990618,444.483466470267,40.7128,-74.006,10.0,15.0,,0.12975718070926812,-0.7530669500931289,15.21072251366412,17.138927964036846
2020.0,11.0,11.442449109541709,16.30946988855967,-8.54600259440694,158.6718593593283,53.76671707923877,0.3085580518327352,108.15062128623768,29.31105288485467,414.17190986429875,40.7128,-74.006,,,0.13775462564290175,,99999.0,37.2242821191143,24.24076751181738
,12.0,31.683721890401877,31.73944848177422,24.99861180158551,80.12743217104968,31.029012275119435,13.373206718671009,63.74559778703302,84.27894308882388,410.94374869950707,40.7128,-74.006,10.0,15.0,0.11453043430916154,0.44798402967645545,99999.0,47.05400849365046,14.686377833663673
2021.0,1.0,7.587886608070669,15.279342102954704,,185.0514934263207,67.49886030486712,8.051787208108495,129.63254809584348,78.75675005105151,425.65318497997913,99999.0,-74.006,10.0,15.0,0.9570210705038449,0.3301365180933241,0.709168329632907,10.088137328854682,10.002860863006921
,2.0,12.930296430326841,16.693120050324595,-6.915669219404235,198.1173358282731,94.31393960332872,6.486466962177191,91.71785237868667,45.79223818588572,425.68374435772574,40.7128,-74.006,10.0,15.0,,0.9038735649037065,0.5479126064774078,29.23346393019745,15.914403897035829
2021.0,3.0,17.699150836500014,22.484153439467317,25.514134021145374,131.4142769650361,49.27602355528687,2.0530369438850364,106.42712139805457,24.803797055628163,442.84422558020844,40.7128,-74.006,10.0,15.0,0.7132566174594372,0.05555831355441099,-0.3779864949728524,22.39792534968618,26.332337200749937
2021.0,,29.374537892541085,27.352924716627772,-3.8208996731303424,141.4157018391842,77.49930454432274,12.382871373519517,248.96905249857898,80.92792254696116,438.17136531709656,40.7128,-74.006,10.0,15.0,0.0856501457898301,0.9897235972930576,0.6512709673390575,10.962029577845648,16.202287654841427
2021.0,5.0,4.692807640663844,35.39726861150831,14.845232854964834,99999.0,30.87108243855665,4.7731368815318,298.4491952489933,76.08525705265296,400.4402533751771,40.7128,-74.006,10.0,15.0,0.2737661269131505,0.28442647770951124,-0.6287623344588649,30.774148926534195,17.898957983163385
2021.0,,10.065687658376712,29.90097762883758,9.522434437535896,,84.97013285149256,14.861958642944995,64.0436821059928,Unknown,415.01535959371205,,-74.006,10.0,15.0,0.740355302633684,0.1466022996500348,-0.6658709576102253,35.63576997790581,Unknown
2021.0,NAN,,4.913620891071524,12.819367002174424,165.37416021707415,65.53207787303869,3.1773096338436213,59.232808310275374,82.01594320731786,439.66995551923793,40.7128,-74.006,10.0,15.0,0.6932387329049976,0.9351978644845761,-0.08629539695614796,19.004710044370977,26.41704724286211
2021.0,8.0,5.730457256453523,38.71251852259356,12.857216488259652,147.0097105134194,94.34708926029289,11.08227469946344,245.4119103355245,80.8602639893691,431.8972906110114,40.7128,-74.006,10.0,15.0,0.7083593453092121,0.56911704319706,-0.7101226950672235,48.649348914623324,11.210670049902053
2021.0,9.0,10.780193263098186,,7.379582628211608,50.833431846436405,60.37199886828648,7.0171761354261255,294.97169931612353,,403.4012096102834,40.7128,-74.006,10.0,15.0,0.5260834785696863,0.5995350647576086,0.708269243562083,43.535847970354226,
2021.0,10.0,9.469615161678657,37.2211829890368,-8.034582881888763,106.55329294915407,87.42090489937898,14.05736359753678,279.234907542706,72.35717828028672,404.7727229062986,40.7128,-74.006,10.0,15.0,0.7381928205664279,0.5205687011042743,0.6852315606500363,,
2021.0,11.0,26.81686875221346,4.956329707032308,-3.2796282308566127,132.87115278574282,41.02346163331576,8.14167693149351,229.2201945689563,18.157219084682342,403.41827151806086,40.7128,-74.006,10.0,15.0,0.3187327502190853,0.5678061204535925,0.7928381640252535,41.18789515446911,13.065127182543307
2021.0,12.0,20.751242214429347,37.24523249816686,12.22186968771505,98.84780486840687,40.320803998405204,2.7188864797716494,,35.459809046554355,,Unknown,-74.006,,,0.7814941594718359,0.42002742782046654,0.2091381573072033,35.962352111401295,10.017472231567782
